date,close_b,volume_b,close_eth,volume_eth
2019-12-01,7424.29248046875,18720708479,151.18572998046875,7102780298
2019-12-02,7321.98828125,17082040706,149.0591583251953,6670561362
2019-12-03,7320.1455078125,14797485769,147.9564208984375,6204379850
2019-12-04,7252.03466796875,21664240918,146.74774169921875,7865937094
2019-12-05,7448.3076171875,18816085231,149.24899291992188,6745910228
2019-12-06,7546.99658203125,18104466307,149.19444274902344,6458766441
2019-12-07,7556.23779296875,15453520564,148.76815795898438,5911233284
2019-12-08,7564.34521484375,15409908086,151.2647247314453,6441727252
2019-12-09,7400.8994140625,17872021272,148.2251739501953,6744206747
2019-12-10,7278.11962890625,18249031195,146.2670440673828,6859512025
2019-12-11,7217.42724609375,16350490689,143.60800170898438,7037180049
2019-12-12,7243.13427734375,18927080224,145.60400390625,7890383413
2019-12-13,7269.6845703125,17125736940,144.9447479248047,7264810247
2019-12-14,7124.673828125,17137029730,142.86923217773438,7048066973
2019-12-15,7152.3017578125,16881129804,143.114990234375,7235153411
2019-12-16,6932.48046875,20213265950,133.61402893066406,8992282119
2019-12-17,6640.51513671875,22363804217,122.60388946533205,9057166141
2019-12-18,7276.802734375,31836522778,133.09219360351562,11864518321
2019-12-19,7202.84423828125,25904604416,129.32113647460938,9564699140
2019-12-20,7218.81640625,22633815180,129.06605529785156,8173594150
2019-12-21,7191.15869140625,19312552168,128.13095092773438,7449064703
2019-12-22,7511.5888671875,23134537956,132.3725128173828,9121058481
2019-12-23,7355.62841796875,27831788041,128.6140899658203,9622497693
2019-12-24,7322.5322265625,22991622105,129.0638885498047,7961819689
2019-12-25,7275.15576171875,21559505149,126.4546356201172,8418019054
2019-12-26,7238.966796875,22787010034,126.36122131347656,8600871980
2019-12-27,7290.08837890625,22777360996,127.21460723876952,8299390176
2019-12-28,7317.990234375,21365673026,128.3227081298828,8069298610
2019-12-29,7422.65283203125,22445257702,134.7579803466797,9708776786
2019-12-30,7292.9951171875,22874131672,132.63348388671875,9796951716
2019-12-31,7193.59912109375,21167946112,129.61085510253906,8936866397
2020-01-01,7200.17431640625,18565664997,130.802001953125,7935230330
2020-01-02,6985.47021484375,20802083465,127.4101791381836,8032709256
2020-01-03,7344.88427734375,28111481032,134.1717071533203,10476845358
2020-01-04,7410.65673828125,18444271275,135.06936645507812,7430904515
2020-01-05,7411.3173828125,19725074095,136.2767791748047,7526675353
2020-01-06,7769.21923828125,23276261598,144.3041534423828,9093747121
2020-01-07,8163.6923828125,28767291327,143.5439910888672,9257954672
2020-01-08,8079.86279296875,31672559265,141.2581329345703,9387194957
2020-01-09,7879.0712890625,24045990466,138.9792022705078,7697325348
2020-01-10,8166.55419921875,28714583844,143.96377563476562,9084816203
2020-01-11,8037.53759765625,25521165085,142.92710876464844,9332208590
2020-01-12,8192.494140625,22903438381,145.87393188476562,8528167453
2020-01-13,8144.1943359375,22482910688,144.22659301757812,8378529470
2020-01-14,8827.7646484375,44841784107,165.95535278320312,16712318373
2020-01-15,8807.0107421875,40102834650,166.23068237304688,15173694057
2020-01-16,8723.7861328125,31313981931,164.39100646972656,13735193018
2020-01-17,8929.0380859375,36372139320,170.7799530029297,14997091826
2020-01-18,8942.80859375,32337772627,175.3656768798828,14929342256
2020-01-19,8706.2451171875,34217320471,166.9698486328125,13713374132
2020-01-20,8657.642578125,26422375678,167.12051391601562,11144529787
2020-01-21,8745.89453125,24097418512,169.69715881347656,9789369362
2020-01-22,8680.8759765625,22600204051,168.29415893554688,9209827928
2020-01-23,8406.515625,25770680779,162.92855834960938,10396868698
2020-01-24,8445.4345703125,24397913026,163.05117797851562,10657671162
2020-01-25,8367.84765625,19647331549,161.283935546875,8256956802
2020-01-26,8596.830078125,22177678796,168.0771026611328,9261861590
2020-01-27,8909.8193359375,28647338393,170.93089294433594,11004476145
2020-01-28,9358.58984375,34398744403,176.3703155517578,11772875064
2020-01-29,9316.6298828125,30682598115,175.0503387451172,10725267311
2020-01-30,9508.9931640625,32378792851,184.6904754638672,12604789338
2020-01-31,9350.529296875,29432489719,180.16017150878903,11728616394
2020-02-01,9392.875,25922656496,183.6739501953125,11569697182
2020-02-02,9344.365234375,30835736946,188.61753845214844,14054425389
2020-02-03,9293.521484375,30934096509,189.8650665283203,12392875241
2020-02-04,9180.962890625,29893183716,189.25059509277344,11714191695
2020-02-05,9613.423828125,35222060874,204.2302398681641,14865434435
2020-02-06,9729.8017578125,37628823716,212.33908081054688,16425589683
2020-02-07,9795.943359375,34522718159,222.7260589599609,16673443564
2020-02-08,9865.119140625,35172043762,223.14651489257807,16741203125
2020-02-09,10116.673828125,35807884663,228.5785675048828,15031356241
2020-02-10,9856.611328125,39386548075,223.522705078125,16210008511
2020-02-11,10208.236328125,37648059389,235.8511962890625,16964695963
2020-02-12,10326.0546875,43444303830,265.4061279296875,24545049386
2020-02-13,10214.3798828125,49356071373,268.0992431640625,25801317504
2020-02-14,10312.1162109375,43338264162,284.2174987792969,23558253463
2020-02-15,9889.4248046875,43865054831,264.72857666015625,23682452994
2020-02-16,9934.43359375,43374780305,259.89471435546875,25152366643
2020-02-17,9690.142578125,45998298413,266.3634338378906,26024080089
2020-02-18,10141.99609375,47271023953,281.944580078125,26511477187
2020-02-19,9633.38671875,46992019710,259.76397705078125,22679414413
2020-02-20,9608.4755859375,44925260237,257.949462890625,23229828870
2020-02-21,9686.44140625,40930547513,265.6006164550781,20867593292
